repo_name,owner,url,stars,pull_counts,pull_comment_counts,pull_commit_counts,pull_commit_comment_counts,pull_commit_code_comment_counts
canal,alibaba,https://api.github.com/repos/alibaba/canal,13555,385,0,0,0,9
fresco,facebook,https://api.github.com/repos/facebook/fresco,16134,357,0,0,0,263
zuul,Netflix,https://api.github.com/repos/Netflix/zuul,9179,356,0,0,0,203
MPAndroidChart,PhilJay,https://api.github.com/repos/PhilJay/MPAndroidChart,30516,348,0,0,0,28
gson,google,https://api.github.com/repos/google/gson,17726,314,0,0,0,254
stetho,facebook,https://api.github.com/repos/facebook/stetho,11829,294,0,0,0,1240
redisson,redisson,https://api.github.com/repos/redisson/redisson,12886,286,0,0,0,127
android-async-http,android-async-http,https://api.github.com/repos/android-async-http/android-async-http,10544,274,0,0,0,89
zxing,zxing,https://api.github.com/repos/zxing/zxing,25214,270,0,0,0,230
HikariCP,brettwooldridge,https://api.github.com/repos/brettwooldridge/HikariCP,12788,269,0,0,0,313
storm,nathanmarz,https://api.github.com/repos/nathanmarz/storm,9015,267,0,0,0,208
halo,halo-dev,https://api.github.com/repos/halo-dev/halo,14813,265,0,0,0,168
PermissionsDispatcher,permissions-dispatcher,https://api.github.com/repos/permissions-dispatcher/PermissionsDispatcher,9911,263,0,0,0,265
Telegram,DrKLO,https://api.github.com/repos/DrKLO/Telegram,13869,261,0,0,0,302
arthas,alibaba,https://api.github.com/repos/alibaba/arthas,20766,261,0,0,0,51
BaseRecyclerViewAdapterHelper,CymChad,https://api.github.com/repos/CymChad/BaseRecyclerViewAdapterHelper,19815,257,0,0,0,0
lombok,rzwitserloot,https://api.github.com/repos/rzwitserloot/lombok,9161,254,0,0,0,23
jsoup,jhy,https://api.github.com/repos/jhy/jsoup,7862,253,0,0,0,53
ghidra,NationalSecurityAgency,https://api.github.com/repos/NationalSecurityAgency/ghidra,20537,247,0,0,0,280
jadx,skylot,https://api.github.com/repos/skylot/jadx,21985,245,0,0,0,90
spring-boot-admin,codecentric,https://api.github.com/repos/codecentric/spring-boot-admin,8630,241,0,0,0,208
mybatis-plus,baomidou,https://api.github.com/repos/baomidou/mybatis-plus,8430,231,0,0,0,0
Apktool,iBotPeaches,https://api.github.com/repos/iBotPeaches/Apktool,9954,230,0,0,0,58
RxAndroid,ReactiveX,https://api.github.com/repos/ReactiveX/RxAndroid,18909,226,0,0,0,633
SimianArmy,Netflix,https://api.github.com/repos/Netflix/SimianArmy,7542,218,0,0,0,35
xxl-job,xuxueli,https://api.github.com/repos/xuxueli/xxl-job,13605,208,0,0,0,2
guice,google,https://api.github.com/repos/google/guice,9217,190,0,0,0,115
material-components-android,material-components,https://api.github.com/repos/material-components/material-components-android,10074,185,0,0,0,178
lottie-react-native,react-native-community,https://api.github.com/repos/react-native-community/lottie-react-native,12887,164,0,0,0,50
AndroidUtilCode,Blankj,https://api.github.com/repos/Blankj/AndroidUtilCode,26853,159,0,0,0,0
hutool,looly,https://api.github.com/repos/looly/hutool,12012,148,0,0,0,0
Android-Universal-Image-Loader,nostra13,https://api.github.com/repos/nostra13/Android-Universal-Image-Loader,16702,147,0,0,0,3
DoraemonKit,didi,https://api.github.com/repos/didi/DoraemonKit,14182,141,0,0,0,0
uCrop,Yalantis,https://api.github.com/repos/Yalantis/uCrop,9769,133,0,0,0,49
