repo_name,owner,url,stars,pull_counts,
BaseRecyclerViewAdapterHelper,CymChad,https://api.github.com/repos/CymChad/BaseRecyclerViewAdapterHelper,19815,257,
lombok,rzwitserloot,https://api.github.com/repos/rzwitserloot/lombok,9161,254,
jsoup,jhy,https://api.github.com/repos/jhy/jsoup,7862,253,
ghidra,NationalSecurityAgency,https://api.github.com/repos/NationalSecurityAgency/ghidra,20537,247,
jadx,skylot,https://api.github.com/repos/skylot/jadx,21985,245,
spring-boot-admin,codecentric,https://api.github.com/repos/codecentric/spring-boot-admin,8630,241,
mybatis-plus,baomidou,https://api.github.com/repos/baomidou/mybatis-plus,8430,231,
Apktool,iBotPeaches,https://api.github.com/repos/iBotPeaches/Apktool,9954,230,
RxAndroid,ReactiveX,https://api.github.com/repos/ReactiveX/RxAndroid,18909,226,
SimianArmy,Netflix,https://api.github.com/repos/Netflix/SimianArmy,7542,218,
xxl-job,xuxueli,https://api.github.com/repos/xuxueli/xxl-job,13605,208,188829
guice,google,https://api.github.com/repos/google/guice,9217,190,
material-components-android,material-components,https://api.github.com/repos/material-components/material-components-android,10074,185,
lottie-react-native,react-native-community,https://api.github.com/repos/react-native-community/lottie-react-native,12887,164,
AndroidUtilCode,Blankj,https://api.github.com/repos/Blankj/AndroidUtilCode,26853,159,
hutool,looly,https://api.github.com/repos/looly/hutool,12012,148,
Android-Universal-Image-Loader,nostra13,https://api.github.com/repos/nostra13/Android-Universal-Image-Loader,16702,147,
DoraemonKit,didi,https://api.github.com/repos/didi/DoraemonKit,14182,141,
uCrop,Yalantis,https://api.github.com/repos/Yalantis/uCrop,9769,133,
PhotoView,chrisbanes,https://api.github.com/repos/chrisbanes/PhotoView,16666,131,
AndroidSlidingUpPanel,umano,https://api.github.com/repos/umano/AndroidSlidingUpPanel,8925,127,
android-gif-drawable,koral--,https://api.github.com/repos/koral--/android-gif-drawable,8213,123,
ARouter,alibaba,https://api.github.com/repos/alibaba/ARouter,11782,115,
interview,mission-peace,https://api.github.com/repos/mission-peace/interview,8279,113,
VasSonic,Tencent,https://api.github.com/repos/Tencent/VasSonic,10768,113,
litemall,linlinjava,https://api.github.com/repos/linlinjava/litemall,12535,113,
tinker,Tencent,https://api.github.com/repos/Tencent/tinker,14960,112,
webmagic,code4craft,https://api.github.com/repos/code4craft/webmagic,8917,108,
BottomBar,roughike,https://api.github.com/repos/roughike/BottomBar,8370,108,
easypermissions,googlesamples,https://api.github.com/repos/googlesamples/easypermissions,8370,106,
platform_frameworks_base,aosp-mirror,https://api.github.com/repos/aosp-mirror/platform_frameworks_base,9104,105,
Matisse,zhihu,https://api.github.com/repos/zhihu/Matisse,11039,103,
easyexcel,alibaba,https://api.github.com/repos/alibaba/easyexcel,14240,101,
material-theme-jetbrains,ChrisRM,https://api.github.com/repos/ChrisRM/material-theme-jetbrains,7572,98,
JCSprout,crossoverJie,https://api.github.com/repos/crossoverJie/JCSprout,24507,97,
Calligraphy,chrisjenx,https://api.github.com/repos/chrisjenx/Calligraphy,8519,87,
SlidingMenu,jfeinstein10,https://api.github.com/repos/jfeinstein10/SlidingMenu,11202,86,
elasticsearch-analysis-ik,medcl,https://api.github.com/repos/medcl/elasticsearch-analysis-ik,9457,80,
greenDAO,greenrobot,https://api.github.com/repos/greenrobot/greenDAO,12034,78,
zheng,shuzheng,https://api.github.com/repos/shuzheng/zheng,15287,78,
