<=2,427,0.14%
<=5,2352,0.77%
<=10,8948,2.93%
<=20,35635,11.66%
<=50,119182,39.01%
<=70,151407,49.56%
<=100,182410,59.70%
<=200,232645,76.15%
<=300,256270,83.88%
<=400,270052,88.39%
<=500,278908,91.29%
<=1000,296809,97.15%
<=2000,303515,99.34%
<=5000,305314,99.93%
<=10000,305519,100.00%
<=20000,305528,100.00%
